airport,all_airports,state,country,city,type,iata_code,city_code,longitude,latitude,time_zone,gmt_offset,mileage_region,region
Raleigh/Durham,N,NC,United States,Raleigh/Durham,airport,RDU,RDU,-78.7875,35.8777778,America/New_York,GMT-5:00,Canada & Continental USA,US
Rajshahi Shah Makhdum,N,,Bangladesh,Rajshahi,airport,RJH,RJH,88.6163889,24.4372222,Asia/Dhaka,GMT+6:00,Indian Subcontinent,IN
Rajkot,N,,India,Rajkot,airport,RAJ,RAJ,70.7794444,22.3091667,Asia/Kolkata,GMT+5:30,Indian Subcontinent,IN
Rajahmundry,N,,India,Rajahmundry,airport,RJA,RJA,81.8194444,17.11,Asia/Kolkata,GMT+5:30,Indian Subcontinent,IN
Raivavae,N,,French Polynesia,Rairua,airport,RVV,RVV,-147.66194,-23.885278,Pacific/Tahiti,GMT-10:00,Australia New Zealand & South Pacific,AU
Raipur Swami Vivekananda,N,,India,Raipur,airport,RPR,RPR,81.7388889,21.1802778,Asia/Kolkata,GMT+5:30,Indian Subcontinent,IN
Rainbow Lake,N,AB,Canada,Rainbow Lake,airport,YOP,YOP,-119.40833,58.4913889,America/Edmonton,GMT-7:00,Canada & Continental USA,US
Raiatea Uturoa,N,,French Polynesia,Raiatea Island,airport,RFP,RFP,-151.46583,-16.722778,Pacific/Tahiti,GMT-10:00,Australia New Zealand & South Pacific,AU
Rahim Yar Khan Shaikh Zayed International,N,,Pakistan,Rahim Yar Khan,airport,RYK,RYK,70.2794444,28.3838889,Asia/Karachi,GMT+5:00,Indian Subcontinent,IN
Rafha,N,,Saudi Arabia,Rafha,airport,RAH,RAH,43.4905556,29.6263889,Asia/Riyadh,GMT+3:00,Middle East & North Africa,ME
Rach Gia,N,,Viet Nam,Rachgia,airport,VKG,VKG,105.133333,9.95833333,Asia/Ho_Chi_Minh,GMT+7:00,Asia 1,AS
Rabaul Tokua,N,,Papua New Guinea,Rabaul,airport,RAB,RAB,152.377222,-4.34,Pacific/Port_Moresby,GMT+10:00,Australia New Zealand & South Pacific,AU
Rabat Sale,N,,Morocco,Rabat,airport,RBA,RBA,-6.7513889,34.0513889,Africa/Casablanca,GMT0:00,Middle East & North Africa,ME
Quzhou,N,,China,Juzhou,airport,JUZ,JUZ,118.9,28.9672222,Asia/Shanghai,GMT+8:00,Asia 1,AS
Qurghonteppa International,N,,Tajikistan,Qurghonteppa,airport,KQT,KQT,68.8647222,37.8672222,Asia/Dushanbe,GMT+5:00,Middle East & North Africa,ME
Quito Mariscal Sucre International,N,,Ecuador,Quito,airport,UIO,UIO,-78.488333,-0.1411111,America/Guayaquil,GMT-5:00,Northern South America,SA
Quinhagak,N,AK,United States,Quinhagak,airport,KWN,KWN,-161.88361,59.7563889,America/Anchorage,GMT-9:00,Canada & Continental USA,US
Quincy Municipal,N,IL,United States,Quincy,airport,UIN,UIN,-91.194444,39.9408333,America/Chicago,GMT-6:00,Canada & Continental USA,US
Quimper Pluguffan,N,,France,Quimper,airport,UIP,UIP,-4.1677778,47975,Europe/Paris,GMT+1:00,Europe 1,EU
Quilpie,N,,Australia,Quilpie,airport,ULP,ULP,144.258056,-26.609444,Australia/Brisbane,GMT+10:00,Australia New Zealand & South Pacific,AU
Quibdo El Carano,N,,Colombia,Quibdo,airport,UIB,UIB,-76.641111,5.69083333,America/Bogota,GMT-5:00,Northern South America,SA
Qui Nhon Phu Cat,N,,Viet Nam,Quinhon,airport,UIH,UIH,109.043333,13.9538889,Asia/Ho_Chi_Minh,GMT+7:00,Asia 1,AS
Quetta International,N,,Pakistan,Quetta,airport,UET,UET,66.9377778,30.2513889,Asia/Karachi,GMT+5:00,Indian Subcontinent,IN
Quesnel,N,BC,Canada,Quesnel,airport,YQZ,YQZ,-122.51028,53.0261111,America/Vancouver,GMT-8:00,Canada & Continental USA,US
Queretaro Intercontinental,N,,Mexico,Queretaro,airport,QRO,QRO,-100.18556,20.6172222,America/Cancun,GMT-6:00,Mexico,CA
Quepos La Managua,N,,Costa Rica,Quepos,airport,XQP,XQP,-84.129722,9.44305556,America/Costa_Rica,GMT-6:00,Caribbean & Central America,CB
Quelimane,N,,Mozambique,Quelimane,airport,UEL,UEL,36.8691667,-17.855556,Africa/Maputo,GMT+2:00,"East, West & South Africa",AF
Queenstown,N,,New Zealand,Queenstown,airport,ZQN,ZQN,168.746667,-45.018333,Pacific/Auckland,GMT+12:00,Australia New Zealand & South Pacific,AU
Quebec Jean Lesage International,N,QC,Canada,Quebec,airport,YQB,YQB,-71.393333,46.7911111,America/Montreal,GMT-5:00,Canada & Continental USA,US
Quaqtaq,N,QC,Canada,Quaqtaq,airport,YQC,YQC,-69.618056,61.0466667,America/Montreal,GMT-5:00,Canada & Continental USA,US
Quanzhou Jinjiang,N,,China,Jinjiang,airport,JJN,JJN,118.588056,24.7955556,Asia/Shanghai,GMT+8:00,Asia 1,AS
Qiqihar Sanjiazi,N,,China,Qiqihar,airport,NDG,NDG,123.918056,47.2397222,Asia/Shanghai,GMT+8:00,Asia 1,AS
Qinhuangdao Shanhaiguan,N,,China,Qinhuangdao,airport,SHP,SHP,119.729167,39.9677778,Asia/Shanghai,GMT+8:00,Asia 1,AS
Qinhuangdao Beidaihe,N,,China,Qinhuangdao,airport,BPE,BPE,119.06,39.6663889,Asia/Shanghai,GMT+8:00,Asia 1,AS
Qingyang,N,,China,Qingyang,airport,IQN,IQN,118.589167,24.7966667,Asia/Shanghai,GMT+8:00,Asia 1,AS
Qingdao Liuting International,N,,China,Qingdao,airport,TAO,TAO,120.374444,36.2661111,Asia/Shanghai,GMT+8:00,Asia 1,AS
Qikiqtarjuaq Broughton Island,N,NU,Canada,Broughton Island,airport,YVM,YVM,-64.031389,67.5458333,America/Montreal,GMT-5:00,Canada & Continental USA,US
Qianjiang Wulingshan,N,,China,Qianjiang Shi,airport,JIQ,JIQ,108.831667,29.5147222,Asia/Shanghai,GMT+8:00,Asia 1,AS
Qasigiannguit Heliport,N,,Greenland,Qasigiannguit,airport,JCH,JCH,-51.172222,68.8205556,America/Godthab,GMT-3:00,Europe 2,EU
Qamdo/Changdu Bamda/Bangda,N,,China,Bangda,airport,BPX,BPX,97.1105556,30.5511111,Asia/Shanghai,GMT+8:00,Asia 1,AS
Qaisumah Hafar al Batin,N,,Saudi Arabia,Qaisumah,airport,AQI,AQI,46125,28.3352778,Asia/Riyadh,GMT+3:00,Middle East & North Africa,ME
Qaarsut,N,,Greenland,Qaarsut,airport,JQA,JQA,-52.692778,70.7336111,America/Godthab,GMT-3:00,Europe 2,EU
Qaanaaq,N,,Greenland,Qaanaaq,airport,NAQ,NAQ,-69.387778,77.4886111,America/Godthab,GMT-3:00,Europe 2,EU
Pyongyang Sunan International,N,,North Korea,Pyongyang,airport,FNJ,FNJ,125.67,39.2236111,Asia/Pyongyang,GMT+9:00,Asia 1,AS
Puvingnituq Puvirnituq,N,QC,Canada,Puvirnituq,airport,YPX,YPX,-77.285833,60.0488889,America/Montreal,GMT-5:00,Canada & Continental USA,US
Putussibau Pangsuma,N,,Indonesia,Putussibau,airport,PSU,PSU,112.937222,0.83555556,Asia/Jakarta,GMT+7:00,Asia 2,AS
Putao,N,,Myanmar,Putao,airport,PBU,PBU,97.4263889,27.33,Asia/Rangoon,GMT+6:30,Asia 2,AS
Punta Gorda Charlotte County,N,FL,United States,Punta Gorda,airport,PGD,PGD,-81.995278,26.9177778,America/New_York,GMT-5:00,Canada & Continental USA,US
Punta Gorda,N,,Belize,Punta Gorda,airport,PND,PND,-88.808333,16.1022222,America/Belize,GMT-6:00,Caribbean & Central America,CB
Punta del Este Carlos A. Curbelo International,N,,Uruguay,Punta del Este,airport,PDP,PDP,-55.100833,-34.856944,America/Montevideo,GMT-3:00,Southern South America,SA
Punta Cana International,N,,Dominican Republic,Punta Cana,airport,PUJ,PUJ,-68.363333,18.5675,America/Santo_Domingo,GMT-4:00,Caribbean & Central America,CB
Punta Arenas C.Ibanez del Campo,N,,Chile,Punta Arenas,airport,PUQ,PUQ,-70.854722,-53.002778,America/Santiago,GMT-4:00,Southern South America,SA
Pune Lohegaon,N,,India,Poona,airport,PNQ,PNQ,73.9197222,18.5822222,Asia/Kolkata,GMT+5:30,Indian Subcontinent,IN
Pullman/Moscow ID Regional,N,WA,United States,Pullman,airport,PUW,PUW,-117.11111,46.7436111,America/Los_Angeles,GMT-8:00,Canada & Continental USA,US
Pulliam Field,N,AZ,United States,Grand Canyon,airport,FLG,GCN,-111.67111,35.1383333,America/Phoenix,GMT-7:00,Canada & Continental USA,US
Pula,N,,Croatia,Pula,airport,PUY,PUY,13.9222222,44.8936111,Europe/Zagreb,GMT+1:00,Europe 2,EU
Pukarua,N,,French Polynesia,Pukarua,airport,PUK,PUK,-137.01583,-18.296111,Pacific/Tahiti,GMT-10:00,Australia New Zealand & South Pacific,AU
Puka Puka,N,,French Polynesia,Puka Puka,airport,PKP,PKP,-138.81278,-14.809444,Pacific/Tahiti,GMT-10:00,Australia New Zealand & South Pacific,AU
Puerto Vallarta G.Diaz Ordaz International,N,,Mexico,Puerto Vallarta,airport,PVR,PVR,-105.25417,20.68,America/Cancun,GMT-6:00,Mexico,CA
Puerto Suarez International,N,,Bolivia,Puerto Suarez,airport,PSZ,PSZ,-57.823889,-18.980556,America/La_Paz,GMT-4:00,Southern South America,SA
Puerto Princesa International,N,,Philippines,Puerto Princesa,airport,PPS,PPS,118.758611,9.74222222,Asia/Manila,GMT+8:00,Asia 2,AS
Puerto Plata Gregorio Luperon International,N,,Dominican Republic,Puerto Plata,airport,POP,POP,-70.57,19.7577778,America/Santo_Domingo,GMT-4:00,Caribbean & Central America,CB
Puerto Ordaz Manuel Carlos Piar,N,,Venezuela,Puerto Ordaz,airport,PZO,PZO,-62.760278,8.28861111,America/Caracas,GMT-4:30,Northern South America,SA
Puerto Obaldia,N,,Panama,Puerto Obaldia,airport,PUE,PUE,-77.418611,8.66722222,America/Panama,GMT-5:00,Caribbean & Central America,CB
Puerto Montt El Tepual,N,,Chile,Puerto Montt,airport,PMC,PMC,-73.093889,-41.438889,America/Santiago,GMT-4:00,Southern South America,SA
Puerto Maldonado Padre Aldamiz International,N,,Peru,Puerto Maldonado,airport,PEM,PEM,-69.229167,-12.616389,America/Lima,GMT-5:00,Southern South America,SA
Puerto Madryn El Tehuelche,N,,Argentina,Puerto Madryn,airport,PMY,PMY,-65.102778,-42.759167,America/Argentina/Mendoza,GMT-3:00,Southern South America,SA
Puerto Lempira,N,,Honduras,Puerto Lempira,airport,PEU,PEU,-83.784444,15.2622222,America/Tegucigalpa,GMT-6:00,Caribbean & Central America,CB
Puerto Leguizamo Caucaya,N,,Colombia,Puerto Leguizamo,airport,LQM,LQM,-74.770833,-0.1822222,America/Bogota,GMT-5:00,Northern South America,SA
Puerto Jimenez,N,,Costa Rica,Puerto Jimenez,airport,PJM,PJM,-83.301389,8.53611111,America/Costa_Rica,GMT-6:00,Caribbean & Central America,CB
Puerto Inirida Obando,N,,Colombia,Puerto Inirida,airport,PDA,PDA,-67.906111,3.85361111,America/Bogota,GMT-5:00,Northern South America,SA
Puerto Escondido International,N,,Mexico,Puerto Escondido,airport,PXM,PXM,-97.089167,15.8769444,America/Cancun,GMT-6:00,Mexico,CA
Puerto Carreno German Olano,N,,Colombia,Puerto Carreno,airport,PCR,PCR,-67.493056,6.18472222,America/Bogota,GMT-5:00,Northern South America,SA
Puerto Cabello Bartolome Salom International,N,,Venezuela,Puerto Cabello,airport,PBL,PBL,-68.0725,10.4805556,America/Caracas,GMT-4:30,Northern South America,SA
Puerto Ayacucho Cacique Aramare,N,,Venezuela,Puerto Ayacucho,airport,PYH,PYH,-67.606111,5.62,America/Caracas,GMT-4:30,Northern South America,SA
Puerto Asis Tres de Mayo,N,,Colombia,Puerto Asis,airport,PUU,PUU,-76.500833,0.50527778,America/Bogota,GMT-5:00,Northern South America,SA
Pueblo Memorial,N,CO,United States,Pueblo,airport,PUB,PUB,-104.49667,38.2891667,America/Denver,GMT-7:00,Canada & Continental USA,US
Puebla Hermanos Serdan International,N,,Mexico,Puebla,airport,PBC,PBC,-98.371389,19.1580556,America/Cancun,GMT-6:00,Mexico,CA
